Current UPC 11,Calculated/Excel UPC 12,Item Number,Position Report Name,Pallet Product,DESC 1,DESC 2,DESC 3,PDF Last 6,Last 5,PDF Sources,Target POG Occurrences,Search Keys,Match Status,Matched Key,Matched Path(s)
19674211223,196742112238,990452867,SBUX RED CUP $50 MP 26 REG,SBUX RED CUP $50 MP 26 REG,Starbucks $50 Multipack,$50 (5 x $10),Gift Cards,211223,11223,XMAS 2026 SAMS MD-NJ v2 7-21-26 p2,3,196742112238|19674211223|211223|11223|990452867,unresolved,,
19674210916,196742109160,990507001,DISNEY $75 MP MD,DISNEY MP (3X25) 75 - 2025REG,Disney $75 Multipack,$75 (3 X $25),Gift Cards,210916,10916,XMAS 2026 SAMS MD-NJ v2 7-21-26 p3 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p3 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p3,1,196742109160|19674210916|210916|10916|990507001,unresolved,,
19674209553,196742095531,990418403,ROBLOX $100 SD MD,Roblox Bonus 100-2025Reg,Roblox,1 X $100,Gift Cards,209553,09553,XMAS 2026 SAMS MD-NJ v2 7-21-26 p3 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p3 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p3,1,196742095531|19674209553|209553|09553|990418403,unresolved,,
19674217375,196742173758,990561180,,PLAYSTATION $50 GWP 26,Sony PlayStation,1 X $50 + Gift,Gift Card,217375,17375,XMAS 2026 SAMS MD-NJ v2 7-21-26 p3 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p3 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p3,0,196742173758|19674217375|217375|17375|990561180,unresolved,,
19674210278,196742102789,990420757,PLAYSTATION $50 MD,Sony PlayStation Store 50 2025Reg,Sony PlayStation,1 X $50,Gift Card,210278,10278,XMAS 2026 SAMS MD-NJ v2 7-21-26 p3,1,196742102789|19674210278|210278|10278|990420757,unresolved,,
19674215907,196742159073,990505768,GAP $50MP MD REG,Gap Options 50-2025Reg,Gap Options,1 X $50,Gift Card,215907,15907,XMAS 2026 SAMS MD-NJ v2 7-21-26 p3 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p3 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p3,2,196742159073|19674215907|215907|15907|990505768,unresolved,,
19674213197,196742131970,990442330,UNDER ARMOUR $50 + $10,UNDER ARMOUR $50 + $10,Under Armour W/ Bonus,1 x $50 + $10 BONUS,Gift Cards,213197,13197,XMAS 2026 SAMS MD-NJ v2 7-21-26 p3 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p3 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p3,1,196742131970|19674213197|213197|13197|990442330,unresolved,,
19674216329,196742163292,990560866,,OUTBACK $50 + BO 2026,Outback + Bonus,1 X $50,Gift Card,216329,16329,XMAS 2026 SAMS MD-NJ v2 7-21-26 p4 | XMAS 2026 SAMS NATIONAL SLFCHK v2 7-21-26 p2 | XMAS 2026 SAMS NATIONAL v2 7-21-26 p2,0,196742163292|19674216329|216329|16329|990560866,unresolved,,
19674210943,196742109436,990418473,DOMINOS $75MP BON MD,Dominos Pizza Value Add MP Parent 75 (3x25) for 65-2025Reg,Domino's $75 Multipack,$75 (3 X $25),Gift Cards,210943,10943,XMAS 2026 SAMS MD-NJ v2 7-21-26 p4,1,196742109436|19674210943|210943|10943|990418473,unresolved,,
19674211009,196742110098,990420751,C CAKE FACTORY $75 MP REG,The Cheesecake Factory MP Parent (3x25) 75 2025 Reg,Cheesecake Factory,$75 (3 X $25),Gift Cards,211009,11009,XMAS 2026 SAMS MD-NJ v2 7-21-26 p4,1,196742110098|19674211009|211009|11009|990420751,unresolved,,
