side,page_index,row,col,label_name,last5,resolved_upc,resolved_name,cpp,image_status,image_mean,image_std
B,2,2,4,APPLE $50,36596,019594936596,APPLE $50,20,IMAGE_PRESENT,238.58,35.32
B,2,2,5,APPLE $100,36597,019594936597,APPLE $100,20,IMAGE_PRESENT,237.67,36.44
B,2,2,6,GOOGLE $25 REG,09974,019674209974,GOOGLE $25 MD,30,IMAGE_PRESENT,231.6,46.62
B,2,2,7,ZIFT HOLIDAY $25,16346,019674216346,ZIFT HOLIDAY $25,20,IMAGE_PRESENT,112.93,60.44
B,2,3,0,$20-500,16896,019674216896,WMT VV P Hol 2026 Fancy Red $20-500,20,IMAGE_PRESENT,126.27,56.62
B,2,3,1,Wreath $20,16886,019674216886,WMT MC P Hol 2026 Striped Wreath $20-500,20,IMAGE_PRESENT,205.6,56.88
B,2,3,9,$20-500,16896,019674216896,WMT VV P Hol 2026 Fancy Red $20-500,20,IMAGE_PRESENT,158.79,75.11
B,2,3,10,$20-500,16895,019674216895,WMT VV P Hol 2026 Fancy Green $20-500,20,IMAGE_PRESENT,126.21,81.8
B,2,4,4,DISNEY VGC REG,10902,019674210902,DISNEY VGC MD,20,IMAGE_PRESENT,204.71,75.23
B,2,4,5,DISNEY VGC REG,10902,019674210902,DISNEY VGC MD,20,IMAGE_PRESENT,203.96,75.48
B,2,4,6,GOOGLE $50 REG,09976,019674209976,GOOGLE $50 MD,30,IMAGE_PRESENT,232.64,46.55
B,2,4,7,ZIFT HOLIDAY $50,16347,019674216347,ZIFT HOLIDAY $50,20,IMAGE_PRESENT,115.26,55.79
B,2,5,0,Sa1n6t8a8 $525,16885,019674216885,WMT MC P Holiday 2026 Nice Santa $25,20,IMAGE_PRESENT,210.4,79.79
B,2,5,1,Sno$w5m0an,16892,019674216892,WMT MC P Holiday 2026 Nice Snowman $50,20,IMAGE_PRESENT,207.54,81.0
B,2,5,9,Wrea5t0h0 $20-,16886,019674216886,WMT MC P Hol 2026 Striped Wreath $20-500,20,IMAGE_PRESENT,225.66,55.97
B,2,5,10,,16888,019674216888,WMT MC P Hol 2026 Striped Tree $20-500,20,IMAGE_PRESENT,192.02,81.02
B,2,6,3,AMC $30 VA HOLIDAY,10812,019674210812,AMC $30 VA HOLIDAY,30,IMAGE_PRESENT,188.26,84.71
B,2,6,4,RED LOBSTER $100 VA,16587,019674216587,RED LOBSTER $100 VA,20,IMAGE_PRESENT,151.42,78.66
B,2,6,6,NUS PANDA EXPRESS VGC VA,16316,019674216316,PANDA EXPRESS VGC VA,30,IMAGE_PRESENT,126.84,95.58
B,2,6,7,PIZZA HUT $50MP VA,16659,019674216659,KFC VGC VA,10,IMAGE_PRESENT,155.91,78.69
B,2,7,5,Value VA ZIFT A GIFT,12288,019674212288,"CHUCK E CHEESE $25;1,000 e-Tickets$10 Value VA",30,IMAGE_PRESENT,157.81,74.33
B,2,7,8,GWP VA ROBLOX,12248,019674212248,"Starbucks VGC ($25-$500), Gift Card Holder GWP VA",30,IMAGE_PRESENT,221.99,78.38
B,2,8,1,FL PLUSS $99.99,16548,019674216548,NFL PLUSS $99.99,30,IMAGE_PRESENT,214.41,59.15
B,2,8,2,FAVNGDCA RNEGGO,10128,019674210128,FANDANGO VGC MD,20,IMAGE_PRESENT,214.26,59.13
B,2,8,3,DISNEY + VGC REG,14703,019674214703,DISNEY + VGC REG,20,IMAGE_PRESENT,72.64,58.17
B,2,8,4,UBER VGC REG,09909,019674209909,UBER VGC MD,30,IMAGE_PRESENT,236.64,38.61
B,2,8,5,ZFIFOTR A Y GOIUFT (CORE) VGC,16172,019674216172,ZIFT (CORE) VGC,20,IMAGE_PRESENT,187.42,61.41
B,2,8,6,ZFIFOTR A Y GOIUFT (CORE) $25,16170,019674216170,ZIFT (CORE) $25,20,IMAGE_PRESENT,191.99,58.5
B,2,8,7,ZFIFOTR A Y GOIUFT (CORE) $50,16171,019674216171,ZIFT (CORE) $50,20,IMAGE_PRESENT,180.72,68.7
B,2,8,8,BLRAOCBKL VOGXC REG,10023,019674210023,ROBLOX BLACK VGC MD,30,IMAGE_PRESENT,91.81,82.7
B,2,8,9,CVAGRCL ('$S 1J5R-. $100) REG,11802,019674211802,CARL'S JR. VGC ($15-$100) MD,20,IMAGE_PRESENT,205.64,58.16
B,2,8,10,MCVDGOCN MADLDS,11156,019674211156,MCDONALDS VGC MD,30,IMAGE_PRESENT,227.82,44.1
B,2,9,1,OKEMON GO $25,08350,019674208350,POKEMON GO $25,20,IMAGE_PRESENT,183.32,55.18
B,2,9,2,D/F DINNER&MOV IE$50 REG,11593,019674211593,D/F DINNER&MOVIE$50 MD,20,IMAGE_PRESENT,175.6,53.52
B,2,9,3,HULU VGC REG,10913,019674210913,HULU VGC MD,20,IMAGE_PRESENT,172.14,70.03
B,2,9,4,DOOR DASH VGC REG,09989,019674209989,DOOR DASH VGC MD,30,IMAGE_PRESENT,235.1,44.73
B,2,9,5,META QUEST VGC REG,09997,019674209997,META QUEST VGC MD,20,IMAGE_PRESENT,233.45,38.63
B,2,9,6,PLAYSTATION VGC,13363,019674213363,PLAYSTATION VGC,30,IMAGE_PRESENT,135.12,67.82
B,2,9,7,XBOX VGC (10-250),04015,019674204015,XBOX VGC (10-250),30,IMAGE_PRESENT,134.97,55.75
B,2,9,8,ROBLOX BLACK VGC REG,10023,019674210023,ROBLOX BLACK VGC MD,30,IMAGE_PRESENT,82.78,83.21
B,2,9,9,TACO BELL VGC REG,11053,019674211053,TACO BELL VGC MD,30,IMAGE_PRESENT,148.59,68.75
B,2,9,10,MCDONALDS VGC MD,11156,019674211156,MCDONALDS VGC MD,30,IMAGE_PRESENT,229.53,43.65
B,2,10,1,OKEMON GO $25,08350,019674208350,POKEMON GO $25,20,IMAGE_PRESENT,98.05,88.32
B,2,10,2,AMC VGC REG,10635,019674210635,AMC VGC MD,30,IMAGE_PRESENT,90.34,83.48
B,2,10,3,NETFLIX VGC REG,09913,019674209913,NETFLIX VGC MD,20,IMAGE_PRESENT,56.19,55.55
B,2,10,4,AIRBNB VGC REG,09914,019674209914,AIRBNB VGC MD,20,IMAGE_PRESENT,223.65,51.81
B,2,10,5,FORTNITE VGC,11917,019674211917,FORTNITE VGC,20,IMAGE_PRESENT,128.82,59.61
B,2,10,6,PLAYSTATION $25 REG,10282,019674210282,PLAYSTATION $25 MD,30,IMAGE_PRESENT,117.77,43.16
B,2,10,7,XBOX VGC (10-250),04015,019674204015,XBOX VGC (10-250),30,IMAGE_PRESENT,134.47,55.41
B,2,10,8,ROBLOX BLACK $25 REG,10026,019674210026,ROBLOX BLACK $25 MD,30,IMAGE_PRESENT,106.75,94.71
B,2,10,9,Taco Bell $25 REG,10958,019674210958,Taco Bell $25 MD,30,IMAGE_PRESENT,165.13,76.87
B,2,10,10,MCDONALDS $25 HOLIDAY,11159,019674211159,MCDONALDS $25 HOLIDAY,30,IMAGE_PRESENT,42.68,75.94
B,2,11,1,TOP GOLF VGC REG,10092,019674210092,TOP GOLF VGC MD,30,IMAGE_PRESENT,98.39,88.22
B,2,11,2,AMC VGC REG,10635,019674210635,AMC VGC MD,30,IMAGE_PRESENT,90.95,83.45
B,2,11,3,WHAT A BURGER $15 MD,11964,019674211964,WHAT A BURGER $15 MD,30,IMAGE_PRESENT,128.2,28.52
B,2,11,4,NINTENDO $20 REG,10224,019674210224,NINTENDO $20 MD,20,IMAGE_PRESENT,145.11,78.44
B,2,11,5,FORTNITE VGC,11917,019674211917,FORTNITE VGC,20,IMAGE_PRESENT,128.76,59.19
B,2,11,6,PLAYSTATION $50 REG,10283,019674210283,PLAYSTATION $50 MD,30,IMAGE_PRESENT,129.93,49.13
B,2,11,7,XBOX $25,35577,079936635577,XBOX $25,30,IMAGE_PRESENT,62.71,49.44
B,2,11,8,ROBLOX BLACK $50 REG,10025,019674210025,ROBLOX BLACK $50 MD,30,IMAGE_PRESENT,106.84,91.82
B,2,11,9,ARBYS B VGC REG,11241,019674211241,ARBYS VGC MD,20,IMAGE_PRESENT,231.0,48.58
B,2,11,10,BURGER KING VGC REG,11033,019674211033,BURGER KING VGC MD,30,IMAGE_PRESENT,206.57,66.79
B,2,12,1,CHUCK E HEESE VGC REG,11027,019674211027,CHUCK E CHEESE VGC MD,30,IMAGE_PRESENT,86.09,107.27
B,2,12,2,REGAL CINEMAS VGC REG,11066,019674211066,REGAL CINEMAS VGC MD,30,IMAGE_PRESENT,60.87,95.16
B,2,12,3,LOGAN'S ROADHOUSE VGC,16454,019674216454,LOGAN'S ROADHOUSE VGC,30,IMAGE_PRESENT,179.25,81.62
B,2,12,4,NINTENDO $20 REG,10224,019674210224,NINTENDO $20 MD,20,IMAGE_PRESENT,147.71,79.28
B,2,12,5,FORTNITE $30,11914,019674211914,FORTNITE $30,20,IMAGE_PRESENT,131.18,61.04
B,2,12,6,PLAYSTATION $100 REG,10285,019674210285,PLAYSTATION $100 MD,30,IMAGE_PRESENT,122.19,49.02
B,2,12,7,XBOX $50,35580,079936635580,XBOX $50,30,IMAGE_PRESENT,77.14,58.51
B,2,12,8,DAIRY QUEEN VGC MD,10857,019674210857,DAIRY QUEEN VGC MD,20,IMAGE_PRESENT,204.21,71.77
B,2,12,9,ARBYS VGC REG,11241,019674211241,ARBYS VGC MD,20,IMAGE_PRESENT,231.64,48.48
B,2,12,10,WENDYS VGC HOLIDAY REG,11271,019674211271,WENDYS VGC HOLIDAY MD,30,IMAGE_PRESENT,241.86,29.67
C,3,0,0,WHMoTli dMaCy P WH 2026 St Wonder Tree $50 WMT VV P W,16890,019674216890,WMT MC P Holiday 2026 Wonder Tree $50,20,IMAGE_PRESENT,151.61,80.01
C,3,0,1,WHMolT 2 M02C6 P triped Tree $20-500 WMT VV P,16888,019674216888,WMT MC P Hol 2026 Striped Tree $20-500,20,IMAGE_PRESENT,169.59,82.8
C,3,0,3,ROATDEXHAOSUSE VGC REG TEXAS,10602,019674210602,TEXAS ROADHOUSE VGC MD,30,IMAGE_PRESENT,165.82,89.62
C,3,0,4,ROATDEXHAOSUSE $25 REG TEXAS,10603,019674210603,TEXAS ROADHOUSE $25 MD,30,IMAGE_PRESENT,154.57,84.85
C,3,0,5,STARBUCKS VGC REG STARBUCKS,11230,019674211230,STARBUCKS VGC MD,30,IMAGE_PRESENT,224.58,57.66
C,3,0,6,STARBUCKS $25 REG STARBUCKS,11227,019674211227,STARBUCKS $25 D82 MD,30,IMAGE_PRESENT,220.2,62.01
C,3,0,8,WHMoTli dMaCy P 2026 Nice Santa $25 WMT VV P,16885,019674216885,WMT MC P Holiday 2026 Nice Santa $25,20,IMAGE_PRESENT,168.8,94.07
C,3,0,9,WHMoTli dMaCy P 2026 Nice Snowman $50 WMT VV P,16892,019674216892,WMT MC P Holiday 2026 Nice Snowman $50,20,IMAGE_PRESENT,160.23,91.59
C,3,1,0,WMT VV P W Hol 2026 H Fancy Red Fa $20-500 WMT MC P W,16896,019674216896,WMT VV P Hol 2026 Fancy Red $20-500,20,IMAGE_PRESENT,159.66,69.78
C,3,1,1,WMT VV P Hol 2026 ancy Gold $20-500 WMT AMEX,16894,019674216894,WMT VV P Hol 2026 Fancy Gold $20-500,20,IMAGE_PRESENT,192.23,66.78
C,3,1,3,TEXAS ROADHOUSE VGC REG TEXAS,10602,019674210602,TEXAS ROADHOUSE VGC MD,30,IMAGE_PRESENT,165.02,90.13
C,3,1,4,TEXAS ROADHOUSE $50 REG TEXAS,10604,019674210604,TEXAS ROADHOUSE $50 MD,30,IMAGE_PRESENT,157.86,83.36
C,3,1,5,STARBUCKS VGC REG STARBUCKS,11230,019674211230,STARBUCKS VGC MD,30,IMAGE_PRESENT,224.66,56.67
C,3,1,6,STARBUCKS $25 REG STARBUCKS,11227,019674211227,STARBUCKS $25 D82 MD,30,IMAGE_PRESENT,220.57,61.64
C,3,1,8,WMT VV P Hol 2026 Fancy Gold $20-500 WMT MC P,16894,019674216894,WMT VV P Hol 2026 Fancy Gold $20-500,20,IMAGE_PRESENT,172.56,64.0
C,3,1,9,WMT VV P Hol 2026 Fancy Green $20-500 WMT MC P,16895,019674216895,WMT VV P Hol 2026 Fancy Green $20-500,20,IMAGE_PRESENT,135.03,81.61
C,3,2,0,WMT MC P W Hol 2026 H triped Gift Fa $20-500,16887,019674216887,WMT MC P Hol 2026 Striped Gift $20-500,20,IMAGE_PRESENT,188.15,78.37
C,3,2,1,WMT AMEX Hol 2026 ancy White $20-500,16893,019674216893,WMT AMEX Hol 2026 Fancy White $20-500,20,IMAGE_PRESENT,238.43,37.61
C,3,2,3,TEXAS ROADHOUSE VGC REG,10602,019674210602,TEXAS ROADHOUSE VGC MD,30,IMAGE_PRESENT,172.09,93.57
C,3,2,4,TEXAS ROADHOUSE $100 REG BON,10605,019674210605,TEXAS ROADHOUSE $100 MD,30,IMAGE_PRESENT,172.86,87.66
C,3,2,5,STARBUCKS $40 MP REG NUS,11237,019674211237,STARBUCKS $40 MP MD,9,IMAGE_PRESENT,221.88,59.11
C,3,2,6,STARBUCKS $50 REG,11228,019674211228,STARBUCKS $50 MD,30,IMAGE_PRESENT,213.14,66.72
C,3,2,8,WMT MC P Hol 2026 Wonder Ornament $100,16889,019674216889,WMT MC P Hol 2026 Wonder Ornament $100,20,IMAGE_PRESENT,186.19,85.24
C,3,2,9,WMT MC P Holiday 2026 Wonder Gift $25,16891,019674216891,WMT MC P Holiday 2026 Wonder Gift $25,20,IMAGE_PRESENT,182.69,82.7
C,3,3,2,OUTBACK $50MP VA,16329,019674216329,OUTBACK $50MP VA,10,IMAGE_PRESENT,201.69,75.64
C,3,3,3,KFC VGC VA,16660,019674216660,PIZZA HUT $50MP VA,10,IMAGE_PRESENT,166.75,87.01
C,3,3,4,BON DOMINO'S $45 FOR $40 MD,10945,019674210945,DOMINO'S $45 FOR $40 MD,30,IMAGE_PRESENT,136.01,73.14
C,3,3,5,NUS PANERA $25; GET FREE BAGEL (IPP) $4.00 VA,10582,019674210582,PANERA $25; GET FREE BAGEL (IPP) $4.00 VA,30,IMAGE_PRESENT,133.15,95.04
C,3,3,6,DOOR DASH S VGC ($15- VG $200) GWP VA,12286,019674212286,DOOR DASH VGC ($15-$200) GWP VA,10,IMAGE_PRESENT,212.6,77.97
C,3,3,7,STARBUCKS GC VA 2026,16661,019674216661,STARBUCKS VGC VA 2026,30,IMAGE_PRESENT,222.28,60.39
C,3,4,0,CHICK FIL A VGC REG,09410,019674209410,CHICK FIL A VGC MD,30,IMAGE_PRESENT,234.25,44.65
C,3,4,1,PANERA G VGC REG,10584,019674210584,PANERA VGC MD,30,IMAGE_PRESENT,151.56,88.29
C,3,4,2,APPLEBEES VGC PROMO MD,10596,019674210596,APPLEBEES VGC PROMO MD,30,IMAGE_PRESENT,99.57,69.89
