side,page,row,col,last5,expected_upc,expected_name,present_on_side,present_anywhere
D,4,7,6,16170,019674216170,ZIFT (CORE) $25,True,True
D,4,7,7,16171,019674216171,ZIFT (CORE) $50,True,True
D,4,7,8,10023,019674210023,ROBLOX BLACK VGC MD,True,True
D,4,7,9,11802,019674211802,CARL'S JR. VGC ($15-$100) MD,True,True
D,4,7,10,11156,019674211156,MCDONALDS VGC MD,True,True
D,4,8,1,08350,019674208350,POKEMON GO $25,True,True
D,4,8,2,11593,019674211593,D/F DINNER&MOVIE$50 MD,True,True
D,4,8,3,10913,019674210913,HULU VGC MD,True,True
D,4,8,4,09989,019674209989,DOOR DASH VGC MD,True,True
D,4,8,5,09997,019674209997,META QUEST VGC MD,True,True
D,4,8,6,13363,019674213363,PLAYSTATION VGC,True,True
D,4,8,7,04015,019674204015,XBOX VGC (10-250),True,True
D,4,8,8,10023,019674210023,ROBLOX BLACK VGC MD,True,True
D,4,8,9,11053,019674211053,TACO BELL VGC MD,True,True
D,4,8,10,11156,019674211156,MCDONALDS VGC MD,True,True
D,4,9,1,08350,019674208350,POKEMON GO $25,True,True
D,4,9,2,10635,019674210635,AMC VGC MD,True,True
D,4,9,3,09913,019674209913,NETFLIX VGC MD,True,True
D,4,9,4,09914,019674209914,AIRBNB VGC MD,True,True
D,4,9,5,11917,019674211917,FORTNITE VGC,True,True
D,4,9,6,10282,019674210282,PLAYSTATION $25 MD,True,True
D,4,9,7,04015,019674204015,XBOX VGC (10-250),True,True
D,4,9,8,10026,019674210026,ROBLOX BLACK $25 MD,True,True
D,4,9,9,10958,019674210958,Taco Bell $25 MD,True,True
D,4,9,10,11159,019674211159,MCDONALDS $25 HOLIDAY,True,True
D,4,10,1,10092,019674210092,TOP GOLF VGC MD,True,True
D,4,10,2,10635,019674210635,AMC VGC MD,True,True
D,4,10,3,11964,019674211964,WHAT A BURGER $15 MD,True,True
D,4,10,4,10224,019674210224,NINTENDO $20 MD,True,True
D,4,10,5,11917,019674211917,FORTNITE VGC,True,True
D,4,10,6,10283,019674210283,PLAYSTATION $50 MD,True,True
D,4,10,7,35577,079936635577,XBOX $25,True,True
D,4,10,8,10025,019674210025,ROBLOX BLACK $50 MD,True,True
D,4,10,9,11241,019674211241,ARBYS VGC MD,True,True
D,4,10,10,11033,019674211033,BURGER KING VGC MD,True,True
D,4,11,1,11027,019674211027,CHUCK E CHEESE VGC MD,True,True
D,4,11,2,11066,019674211066,REGAL CINEMAS VGC MD,True,True
D,4,11,3,16454,019674216454,LOGAN'S ROADHOUSE VGC,True,True
D,4,11,4,10224,019674210224,NINTENDO $20 MD,True,True
D,4,11,5,11914,019674211914,FORTNITE $30,True,True
D,4,11,6,10285,019674210285,PLAYSTATION $100 MD,True,True
D,4,11,7,35580,079936635580,XBOX $50,True,True
D,4,11,8,10857,019674210857,DAIRY QUEEN VGC MD,True,True
D,4,11,9,11241,019674211241,ARBYS VGC MD,True,True
D,4,11,10,11271,019674211271,WENDYS VGC HOLIDAY MD,True,True
